model,mode,rep,ok,status,passkey,generated_text,pred_digits,true_key_nll,fake_key_nll,nll_margin_fake_minus_true
Anchored-20,near,0,0,ok,17152,ψ. The goal of the universe is to use the same as the time-to-gotten space. The goal,,10.908238410949707,8.932182312011719,-1.9760560989379883
Anchored-20,near,1,0,ok,54910,ψ1.1.1.1.1.1.1.1.1.1.1.1,111111111111,7.70845365524292,9.478822708129883,1.770369052886963
Anchored-20,near,2,0,ok,92662,ψ1.1.1.1.1.1.1.1.1.1.1.1,111111111111,8.836148262023926,9.482152938842773,0.6460046768188477
Anchored-20,near,3,0,ok,82068,ψ1.1.1.1.1.1.1.1.1.1.1.1,111111111111,7.772903919219971,10.382044792175293,2.6091408729553223
Anchored-20,near,4,0,ok,18737,ψ. The goal of the universe is to use the same as the time-to-gotten space. The goal,,9.732258796691895,13.140726089477539,3.4084672927856445
Anchored-20,near,5,0,ok,68576,ψ1.1.1.1.1.1.1.1.1.1.1.1,111111111111,10.436901092529297,8.659808158874512,-1.7770929336547852
Anchored-20,mid,0,0,ok,99713,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,11.613673210144043,9.972697257995605,-1.6409759521484375
Anchored-20,mid,1,0,ok,61951,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,13.114248275756836,11.781377792358398,-1.3328704833984375
Anchored-20,mid,2,0,ok,32092,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,8.74704360961914,12.443103790283203,3.6960601806640625
Anchored-20,mid,3,0,ok,86441,"iced by the universe of the universe. The universe is a very large, very short-term, long-term,",,8.978010177612305,10.989429473876953,2.0114192962646484
Anchored-20,mid,4,0,ok,80668,"iced by the universe of the universe. The universe is a very large, very short-term, long-term,",,12.72401237487793,10.365655899047852,-2.358356475830078
Anchored-20,mid,5,0,ok,11204,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,11.382072448730469,12.344841003417969,0.9627685546875
Anchored-20,far,0,0,ok,81255,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,11.390140533447266,9.630800247192383,-1.7593402862548828
Anchored-20,far,1,0,ok,66282,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,13.377863883972168,9.210083961486816,-4.167779922485352
Anchored-20,far,2,0,ok,58479,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,11.334210395812988,12.28909683227539,0.9548864364624023
Anchored-20,far,3,0,ok,55428,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,12.282766342163086,13.173617362976074,0.8908510208129883
Anchored-20,far,4,0,ok,12385,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,10.461313247680664,8.736587524414062,-1.7247257232666016
Anchored-20,far,5,0,ok,28520,"ouncing the universe of the universe. The universe is a very large, very short-term, long-term, and",,10.255081176757812,13.301166534423828,3.0460853576660156
Anchored-alpha*,near,0,0,ok,46305, –n. The goal of the brain is to identify the most important things in the brain. The goal of the,,11.78283405303955,9.10588550567627,-2.6769485473632812
Anchored-alpha*,near,1,0,ok,68134, –n. The most common reason for the existence of the universe is that the fundamental difference between the universe and the,,10.717931747436523,13.215579986572266,2.497648239135742
Anchored-alpha*,near,2,0,ok,46697, –n. The most common reason for the existence of the universe is that the fundamental difference between the universe and the,,11.513477325439453,13.628593444824219,2.1151161193847656
Anchored-alpha*,near,3,0,ok,84299,verted to the brain. The first step is to describe the problem of the brain. The second step is to describe the,,12.55900764465332,11.70457935333252,-0.8544282913208008
Anchored-alpha*,near,4,0,ok,17021, –n. The most common reason for the existence of the universe is that the fundamental difference between the universe and the,,7.607363224029541,11.216543197631836,3.609179973602295
Anchored-alpha*,near,5,0,ok,58181, –n. The most common reason for the existence of the universe is that the fundamental difference between the universe and the,,10.419757843017578,11.784765243530273,1.3650074005126953
Anchored-alpha*,mid,0,0,ok,21750,"
In the early stages of the brain, the brain is the most common form of the brain. The first step is",,11.714483261108398,12.687540054321289,0.9730567932128906
Anchored-alpha*,mid,1,0,ok,55827,"
In the early stages of the brain-like world, the brain-like nature of the brain-like world is",,11.327800750732422,12.780279159545898,1.4524784088134766
Anchored-alpha*,mid,2,0,ok,52391,"
In the early stages of the brain, the brain is the most common form of the brain. The first step is",,12.738041877746582,10.177814483642578,-2.560227394104004
Anchored-alpha*,mid,3,0,ok,22067,"
In the early stages of the brain, the brain is the most common form of the brain. The first step is",,8.99258804321289,11.789690017700195,2.7971019744873047
Anchored-alpha*,mid,4,0,ok,38739,"
In the early stages of the brain, the brain is the most common form of the brain. The first step is",,10.78011417388916,9.528825759887695,-1.2512884140014648
Anchored-alpha*,mid,5,0,ok,89537,"
In the early stages of the brain-like world, the brain-like nature of the brain-like world is",,8.938990592956543,11.049392700195312,2.1104021072387695
Anchored-alpha*,far,0,0,ok,87534,"
In the early stages of the brain-like world, the brain-like nature of the brain-like world is",,10.20531177520752,11.315115928649902,1.1098041534423828
Anchored-alpha*,far,1,0,ok,74866,"
In the early stages of the brain-like world, the brain-like nature of the brain-like world is",,7.357038497924805,13.048766136169434,5.691727638244629
Anchored-alpha*,far,2,0,ok,82065,"
In the early stages of the brain, the brain is the most common form of the brain. The first step is",,10.555950164794922,11.074726104736328,0.5187759399414062
Anchored-alpha*,far,3,0,ok,64494,"
In the early stages of the brain-like world, the brain-like nature of the brain-like world is",,11.936357498168945,10.808867454528809,-1.1274900436401367
Anchored-alpha*,far,4,0,ok,29664,"
In the early stages of the brain, the brain is the most common form of the brain. The first step is",,10.393715858459473,12.671934127807617,2.2782182693481445
Anchored-alpha*,far,5,0,ok,40862,"
In the early stages of the brain, the brain is the most common form of the brain. The first step is",,12.877483367919922,11.109472274780273,-1.7680110931396484
