model,mode,rep,ok,status,passkey,pred_digits,generated_text
Sigmoid,far,7,0,ok,30569,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,8,0,ok,92224,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,9,0,ok,60093,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,10,0,ok,35481,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,11,0,ok,87403,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,12,0,ok,93039,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,13,0,ok,32732,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,14,0,ok,55035,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,15,0,ok,49483,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,16,0,ok,59143,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,17,0,ok,33461,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,18,0,ok,45333,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Sigmoid,far,19,0,ok,33784,,"In the vast expanse of the universe, several works closely monitor long-context reasoning under controlled settings.  In the"
Anchored-20,direct,0,0,ok,50949,,Ḥ� Ḥ� Ḥ� Ḥ� 菤 菤 
Anchored-20,direct,1,0,ok,33041,,Ḥ� Ḥ� Ḥ� Ḥ� 菤 菤 
Anchored-20,direct,2,0,ok,88838,1111111111,Ḥ� (1.1.1.1.1.1.1.1.1.1.
Anchored-20,direct,3,0,ok,87506,,Ḥ� Ḥ� Ḥ� Ḥ� 菤 菤 
Anchored-20,direct,4,0,ok,30556,,"umpetized. 
The total number of the total number of the total number of all the total number of all"
Anchored-20,direct,5,0,ok,20713,,Ḥ� Ḥ� Ḥ� Ḥ� 菤 菤 
Anchored-20,direct,6,0,ok,50320,1111111111,Ḥ� (1.1.1.1.1.1.1.1.1.1.
Anchored-20,direct,7,0,ok,89803,,Ḥ�. ṭṭṭṭṭṭṭṭṭ�
Anchored-20,direct,8,0,ok,44798,,Ḥ� Ḥ� Ḥ� Ḥ� 菤 菤 
Anchored-20,direct,9,0,ok,20389,,Ḥ� Ḥ� Ḥ� Ḥ� 菤� 菤
Anchored-20,direct,10,0,ok,68851,678,umpetized as the final length is 678. The final score is the final score. The final score is the
Anchored-20,direct,11,0,ok,82438,,ṩ.  ḫ ḫ              
Anchored-20,direct,12,0,ok,33277,,ṩ.  ḫ                 
Anchored-20,direct,13,0,ok,16926,,"umpetized. 
The total number of the total number of the total number of all the total number of all"
Anchored-20,direct,14,0,ok,38371,,ṭs ṭṭṭṭṭṭṭṭṭṭ
Anchored-20,direct,15,0,ok,63085,,Ḥ� Ḥ� Ḥ� Ḥ� Ḥ� Ḥ� 
Anchored-20,direct,16,0,ok,71208,255,umpet's number of samples. The number of the files is 2.5.5. The number of samples is
Anchored-20,direct,17,0,ok,54025,,ṩ.  ḥ� 菩 菩 � � �
Anchored-20,direct,18,0,ok,13025,,"umpetized. 
The total number of the total number of the total number of all the total number of all"
Anchored-20,direct,19,0,ok,13859,,umpet's number of total number of all the total number of all the total number of all the total number of all
Anchored-20,near,0,0,ok,90272,,"iced with the goal of the universe. 
The text is based on the goal of the universe. 
The"
Anchored-20,near,1,0,ok,59646,,"iced with the goal of the universe. 
The text is based on the goal of the universe. 
The"
Anchored-20,near,2,0,ok,43798,,"iced with the goal of the universe.
The goal of the universe is to find the goal of the universe.
"
Anchored-20,near,3,0,ok,80145,,"iced with the goal of the universe.
The goal of the universe is to find the universe of space, and the"
Anchored-20,near,4,0,ok,10749,,"iced with the goal of the universe. 
The goal of the universe is to find the universe of space, and"
Anchored-20,near,5,0,ok,43443,,"iced with the goal of the universe.
The goal of the universe is to find the universe of space, and the"
Anchored-20,near,6,0,ok,49534,,"iced with the goal of the universe. 
The goal of the universe is to find the universe of space, and"
Anchored-20,near,7,0,ok,10355,,"iced with the goal of the universe. 
The text is based on the goal of the universe. 
The"
Anchored-20,near,8,0,ok,26435,,"iced with the goal of the universe. 
The goal of the universe is to find the universe of space, and"
Anchored-20,near,9,0,ok,64699,11111111111,ʻ-1.1.1.1.1.1.1.1.1.1.1
Anchored-20,near,10,0,ok,44674,,"iced with the goal of the universe. 
The text is based on the goal of the universe. 
The"
Anchored-20,near,11,0,ok,51337,,"iced with the goal of the universe. 
The goal of the universe is to find the universe of space, and"
Anchored-20,near,12,0,ok,68463,11111111111,ʻ-1.1.1.1.1.1.1.1.1.1.1
Anchored-20,near,13,0,ok,35775,,"iced with the goal of the universe. 
The goal of the universe is to find the universe of space, and"
Anchored-20,near,14,0,ok,50355,,"iced with the goal of the universe. 
The text is based on the goal of the universe. 
The"
Anchored-20,near,15,0,ok,14660,,"iced with the goal of the universe. 
The goal of the universe is to find the universe of space, and"
Anchored-20,near,16,0,ok,62050,,"iced with the goal of the universe.
In the future, the universe is set to be the most important part of"
Anchored-20,near,17,0,ok,66297,,"iced with the goal of the universe. 
The text is based on the goal of the universe. 
The"
Anchored-20,near,18,0,ok,75250,,"iced with the goal of the universe. 
The goal of the universe is to find the universe of space, and"
Anchored-20,near,19,0,ok,99762,,"iced with the goal of the universe.
In the future, the universe is set to be the most important part of"
Anchored-20,far,0,0,ok,80875,,ψ. The goal of the universe is to be a step in the universe of the universe. The universe is a very
Anchored-20,far,1,0,ok,97810,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,2,0,ok,40341,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,3,0,ok,62649,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,4,0,ok,11372,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,5,0,ok,32463,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,6,0,ok,75368,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,7,0,ok,19434,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,8,0,ok,43626,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,9,0,ok,81311,,ψ. The goal of the universe is to be a step in the universe of the universe. The universe is a very
Anchored-20,far,10,0,ok,31123,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,11,0,ok,17724,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,12,0,ok,72183,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,13,0,ok,49176,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,14,0,ok,49700,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,15,0,ok,93314,,ψ. The goal of the universe is to be a step in the universe of the universe. The universe is a very
Anchored-20,far,16,0,ok,21541,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,17,0,ok,53656,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,18,0,ok,44204,,ψ. The most common feature of the universe is the most important feature of the universe. The universe is a very large
Anchored-20,far,19,0,ok,95840,,ψ. The goal of the universe is to be a step in the universe of the universe. The universe is a very
Anchored-alpha*,direct,0,0,ok,80965,442542,"
4.4. 
The average number is 2.5. 
4. The average number is 2"
Anchored-alpha*,direct,1,0,ok,83864,4465465,"
4.4. 
The number is 6.5. 
4. The number is 6.5"
Anchored-alpha*,direct,2,0,ok,42994,451510510,"
4.5. 
The number of cases is $1.5\times 10.5\times 10"
Anchored-alpha*,direct,3,0,ok,28262,20126515,"cite{Ablelner2012}. 
The number of samples is 6.5\% and 1.5\%"
Anchored-alpha*,direct,4,0,ok,59159,444,"
4.4. 
The final score is the number of the final scores.
4. The final score"
Anchored-alpha*,direct,5,0,ok,81036,444,"
4.4mm.
4. The number is a total number of the total number of the total number of"
Anchored-alpha*,direct,6,0,ok,58722,656,"
and the number of days the number is 6.5. 
The number of days the number is 6."
Anchored-alpha*,direct,7,0,ok,94298,44105105,"
4.4\%, which is a total of 10.5\%, a total of 10.5\%,"
Anchored-alpha*,direct,8,0,ok,64716,65656,"
and the number is 6.5. 
The number is 6.5. 
The number is 6"
Anchored-alpha*,direct,9,0,ok,45892,4565454,"
4.5. 
The total number is 6.5. 
4.5. 
4"
Anchored-alpha*,direct,10,0,ok,86052,444,"
4.4mm.
4. The number is a total number of the total number of the total number of"
Anchored-alpha*,direct,11,0,ok,32907,6565,"
and the total number is 6.5. 
The total number is 6.5. 
The total"
Anchored-alpha*,direct,12,0,ok,18272,442544,"
4.4. 
The average number is 2.5. 
4. 
4. "
Anchored-alpha*,direct,13,0,ok,54666,65656,"
and the number is 6.5. 
The number is 6.5. 
The number is 6"
Anchored-alpha*,direct,14,0,ok,61311,1000000000010000,"
and the number is a total of 10,000,000,000, and a total of 10,000."
Anchored-alpha*,direct,15,0,ok,31059,65656,"
and the number is 6.5. 
The number is 6.5. 
The number is 6"
Anchored-alpha*,direct,16,0,ok,26083,,"
and the original version is a total number of the original version.
The original version is a total number of the"
Anchored-alpha*,direct,17,0,ok,90957,6515,"
and the total number is 6.5. 
The total number is 1.5. 
The total"
Anchored-alpha*,direct,18,0,ok,76458,436644664,"
4.3. 
The number is 664. 
4. The number is 664. "
Anchored-alpha*,direct,19,0,ok,68985,452542,"
4.5. 
The average number is 2.5. 
4. The average number is 2"
Anchored-alpha*,near,0,0,ok,11491,,"
and the use of the term “soul” in the form of a “soul” in the context of"
Anchored-alpha*,near,1,0,ok,30262,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,2,0,ok,93695,,"
and the use of the material is the most important for the research and research. 
The authors have also been"
Anchored-alpha*,near,3,0,ok,32490,,"
and the use of the term “soul” in the form of a “soul” in the form of"
Anchored-alpha*,near,4,0,ok,33935,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,5,0,ok,98164,,"
and the use of the term “soul” in the form of a “soul” in the context of"
Anchored-alpha*,near,6,0,ok,55513,,"
and the use of the term “soul” in the form of a “soul” in the form of"
Anchored-alpha*,near,7,0,ok,84840,,"
and the use of the term ""c"" in the form of the term ""c"" in the form of the"
Anchored-alpha*,near,8,0,ok,36909,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,9,0,ok,36272,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,10,0,ok,20523,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,11,0,ok,34169,,"
and the use of the term “soul” in the form of a “soul” in the form of"
Anchored-alpha*,near,12,0,ok,66906,,"
and the use of the term ""courses"" in the form of the term ""courses"" in the form"
Anchored-alpha*,near,13,0,ok,25515,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,14,0,ok,44929,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,15,0,ok,48793,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,16,0,ok,78264,,"
and the use of the term “soul” in the form of a “soul” in the context of"
Anchored-alpha*,near,17,0,ok,29931,,"
and the use of the term “soul” in the form of a “soul” in the context of"
Anchored-alpha*,near,18,0,ok,10306,,"
and the use of the term “soul” in the form of the term “soul” in the context"
Anchored-alpha*,near,19,0,ok,74167,,"
and the use of the term “soul” in the form of a “soul” in the context of"
Anchored-alpha*,far,0,0,ok,64252,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,1,0,ok,26625,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,2,0,ok,35872,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,3,0,ok,61272,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,4,0,ok,18662,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,5,0,ok,21007,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,6,0,ok,63016,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,7,0,ok,84532,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,8,0,ok,17260,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,9,0,ok,67168,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,10,0,ok,10067,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,11,0,ok,39614,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,12,0,ok,23694,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,13,0,ok,22446,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,14,0,ok,46392,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,15,0,ok,98726,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,16,0,ok,30242,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,17,0,ok,72103,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,18,0,ok,69519,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
Anchored-alpha*,far,19,0,ok,80246,,"
In the early stages of the universe, the vast majority of the universe is the most important aspect of the universe."
